Year/Month,SMA Pears Price,WMA Pears Price,EMA Pears Price,Pears Price (1 month before),Pears Price (2 month before),Pears Price (3 month before),Pears Price
2017/04,0.6146063333333333,0.6265293333333334,0.6268910081124413,0.64,0.635357,0.568462,0.648667
2017/05,0.6413413333333334,0.6435596666666666,0.6668325040562206,0.648667,0.64,0.635357,0.706774
2017/06,0.665147,0.676276,0.6537612520281103,0.706774,0.648667,0.64,0.64069
2017/07,0.665377,0.6640475,0.5893321260140552,0.64069,0.706774,0.648667,0.524903
2017/08,0.6241223333333333,0.5938105,0.6067075630070276,0.524903,0.64069,0.706774,0.6240829999999999
2017/09,0.5965586666666666,0.5937908333333333,0.5672872815035138,0.6240829999999999,0.524903,0.64069,0.5278670000000001
2017/10,0.558951,0.5594450000000001,0.5351761407517569,0.5278670000000001,0.6240829999999999,0.524903,0.503065
2017/11,0.5516716666666667,0.531502,0.5356380703758785,0.503065,0.5278670000000001,0.6240829999999999,0.5361
2017/12,0.522344,0.5237161666666666,0.5259480351879393,0.5361,0.503065,0.5278670000000001,0.516258
2018/01,0.5184743333333334,0.5206731666666666,0.5443125175939696,0.516258,0.5361,0.503065,0.562677
2018/02,0.538345,0.5427745,0.5537037587969849,0.562677,0.516258,0.5361,0.563095
2018/03,0.5473433333333334,0.5551495,0.5754488793984924,0.563095,0.562677,0.516258,0.597194
2018/04,0.574322,0.5800748333333333,0.6049909396992462,0.597194,0.563095,0.562677,0.634533
2018/05,0.5982740000000001,0.6101803333333334,0.6158504698496231,0.634533,0.597194,0.563095,0.62671
2018/06,0.619479,0.6243983333333333,0.6110752349248116,0.62671,0.634533,0.597194,0.6063000000000001
2018/07,0.6225143333333333,0.6178088333333334,0.6280701174624058,0.6063000000000001,0.62671,0.634533,0.645065
2018/08,0.626025,0.6290841666666668,0.6475510587312029,0.645065,0.6063000000000001,0.62671,0.667032
2018/09,0.6394656666666667,0.6495876666666667,0.5292420293656015,0.667032,0.645065,0.6063000000000001,0.410933
2018/10,0.5743433333333333,0.5353213333333333,0.46287901468280074,0.410933,0.667032,0.645065,0.396516
2018/11,0.49149366666666666,0.4464076666666666,0.43563950734140033,0.396516,0.410933,0.667032,0.4084
2018/12,0.405283,0.4048608333333334,0.4029362536707002,0.4084,0.396516,0.410933,0.370233
2019/01,0.39171633333333333,0.38733583333333327,0.4044481268353501,0.370233,0.4084,0.396516,0.40596
2019/02,0.3948643333333333,0.39445766666666665,0.38004556341767504,0.40596,0.370233,0.4084,0.355643
2019/03,0.3772786666666666,0.374847,0.3587647817088375,0.355643,0.40596,0.370233,0.337484
2019/04,0.3663623333333333,0.3549496666666667,0.32408239085441876,0.337484,0.355643,0.40596,0.2894
2019/05,0.327509,0.3164685,0.30108969542720937,0.2894,0.337484,0.355643,0.278097
2019/06,0.30166033333333336,0.2917625,0.2932448477136047,0.278097,0.2894,0.337484,0.2854
2019/07,0.28429899999999997,0.2836323333333333,0.2547839238568024,0.2854,0.278097,0.2894,0.216323
2019/08,0.25994,0.24964433333333333,0.2876834619284012,0.216323,0.2854,0.278097,0.320583
2019/09,0.274102,0.2799658333333333,0.3579252309642006,0.320583,0.216323,0.2854,0.428167
2019/10,0.321691,0.3569983333333333,0.40046261548210027,0.428167,0.320583,0.216323,0.4429999999999999
2019/11,0.39724999999999994,0.4176528333333333,0.45701480774105013,0.4429999999999999,0.428167,0.320583,0.513567
2019/12,0.461578,0.4758113333333333,0.48689440387052507,0.513567,0.4429999999999999,0.428167,0.516774
2020/01,0.49111366666666667,0.5034093333333333,0.5674147019352624,0.516774,0.513567,0.4429999999999999,0.6479349999999999
2020/02,0.5594253333333333,0.5818199999999999,0.6058623509676312,0.6479349999999999,0.516774,0.513567,0.6443099999999999
2020/03,0.6030063333333332,0.6242623333333333,0.6237696754838156,0.6443099999999999,0.6479349999999999,0.516774,0.6416769999999999
2020/04,0.6446406666666666,0.6435976666666666,0.6575683377419078,0.6416769999999999,0.6443099999999999,0.6479349999999999,0.6913670000000001
2020/05,0.659118,0.6669608333333333,0.742348668870954,0.6913670000000001,0.6416769999999999,0.6443099999999999,0.827129
2020/06,0.7200576666666668,0.7509663333333334,0.6719408344354769,0.827129,0.6913670000000001,0.6416769999999999,0.601533
2020/07,0.7066763333333334,0.691704,0.6742444172177384,0.601533,0.827129,0.6913670000000001,0.6765479999999999
2020/08,0.7017366666666667,0.6766398333333333,0.6482352086088692,0.6765479999999999,0.601533,0.827129,0.622226
2020/09,0.6334356666666666,0.6368845,0.5496676043044346,0.622226,0.6765479999999999,0.601533,0.4511
2020/10,0.5832913333333333,0.5457166666666666,0.5063013021522174,0.4511,0.622226,0.6765479999999999,0.462935
2020/11,0.5120870000000001,0.48553850000000004,0.48028415107610867,0.462935,0.4511,0.622226,0.454267
2020/12,0.45610066666666665,0.45662850000000005,0.45469057553805436,0.454267,0.462935,0.4511,0.429097
